Surface,NbPieces,NbChambres,NbSDB,Prix,Type_Appartement,Type_Maison,DPE_A,DPE_B,DPE_C,DPE_D,DPE_E,DPE_F,DPE_Vierge,latitude,longitude
86,4,3,1,250000,0,1,0,0,0,0,0,0,1,48.941663812,2.851027449
62,3,2,1,320000,0,1,0,0,0,0,0,0,1,48.951531886,2.240388744
50,3,1,1,150000,1,0,0,0,0,0,0,0,1,48.626896994,2.43011442
45,2,1,1,149500,1,0,0,0,0,0,0,0,1,48.584512665,2.586244938
350,16,8,8,380000,0,1,0,0,0,0,0,0,1,48.187022098,2.747316996
50,3,2,1,160000,1,0,0,0,0,0,0,0,1,48.774023154,2.8259164830000003
434,7,6,2,440000,0,1,0,0,0,0,0,0,1,48.695361532,2.461939706
110,5,3,1,450000,0,1,0,0,0,0,0,0,1,48.788118568,2.394516098
104,3,2,2,1030000,1,0,0,0,0,0,0,0,1,48.828424546,2.3622537660000003
90,5,3,1,360000,0,1,0,0,0,0,0,0,1,48.760790808,2.385495992
70,4,3,1,180000,1,0,0,0,0,0,0,0,1,48.765666849,2.533133337
121,6,4,2,370000,0,1,0,0,0,0,0,0,1,48.597005764,2.424587432
60,60,2,1,380000,1,0,0,0,0,0,0,0,1,48.892570317,2.348176598
145,4,2,1,207000,0,1,0,0,0,0,0,0,1,48.774023154,2.8259164830000003
67,2,2,1,140000,0,1,0,0,0,0,0,0,1,48.774023154,2.8259164830000003
217,4,4,2,70000,1,0,0,0,0,0,0,0,1,48.971927968,2.252832517
94,2,1,1,85000,1,0,0,0,0,0,0,0,1,48.872724688,2.312557715
114,5,4,2,280000,0,1,0,0,0,0,0,0,1,48.382397701,2.4587028330000003
40,3,2,2,160000,1,0,0,0,0,0,0,0,1,48.887331019,2.306778316
94,5,3,1,220000,1,0,0,0,0,0,0,0,1,48.524357339,2.697674267
73,3,2,1,220000,1,0,0,0,0,0,0,0,1,49.051577748,2.094574042
50,2,1,1,160000,0,1,0,0,0,0,0,0,1,48.419818579,2.769157835
110,3,2,2,820000,1,0,0,0,0,0,0,0,1,48.892570317,2.348176598
110,5,3,2,320000,1,0,0,0,0,0,0,0,1,49.063645075,2.016295404
200,6,3,1,110000,0,1,0,0,0,0,0,0,1,48.524357339,2.697674267
66,3,2,1,190000,1,0,0,0,0,0,0,0,1,48.955045923,2.313968877
100,4,3,2,370000,0,1,0,0,0,0,0,0,1,48.936210518,2.427612443
45,2,1,1,120000,1,0,0,0,0,0,0,0,1,48.653675957,2.639539278
80,4,2,1,260000,0,1,0,0,0,0,0,0,1,48.408982002,2.807741767
200,4,2,1,140000,0,1,0,0,0,0,0,0,1,48.872773777,3.332858845
43,2,1,1,158000,1,0,0,0,0,0,0,0,1,48.923469067,2.444562389
25,1,1,1,86000,1,0,0,0,0,0,0,0,1,48.990236727,2.381117319
70,3,1,1,460000,0,1,0,0,0,0,0,0,1,48.749986765,2.299028344
250,5,2,1,150000,0,1,0,0,0,0,0,0,1,48.876129334,2.360715102
221,4,3,1,498000,0,1,0,0,0,0,0,0,1,48.912490578,2.384529976
75,2,3,1,115000,1,0,0,0,0,0,0,0,1,48.657051798,2.38747617
88,5,3,1,190000,1,0,0,0,0,0,0,0,1,48.883978399,2.597093098
58,3,2,1,258000,1,0,0,0,0,0,0,0,1,48.807476404,2.192088547
160,6,4,2,445000,0,1,0,0,0,0,0,0,1,48.763940835,2.680230189
109,5,3,1,333000,0,1,0,0,0,0,0,0,1,48.786864927,2.613875011
105,6,4,1,272000,0,1,0,0,0,0,0,0,1,48.883978399,2.597093098
79,4,2,1,235000,1,0,0,0,0,0,0,0,1,48.991738548,2.320739048
88,4,2,2,50000,0,1,0,0,0,0,0,0,1,48.84091864,2.890551132
96,5,4,2,295000,0,1,0,0,0,0,0,0,1,48.659188075,2.725984418
39,2,1,1,145000,1,0,0,0,0,0,0,0,1,48.422589066,1.95754312
73,4,3,1,145000,1,0,0,0,0,0,0,0,1,48.495502791,2.600426959
110,6,3,1,150000,1,0,0,0,0,0,0,0,1,48.539635881,2.629511597
108,4,2,1,540000,1,0,0,0,0,0,0,0,1,48.863457789,2.401155799
77,4,3,1,206000,1,0,0,0,0,0,0,0,1,48.714730715,2.591727479
91,91,3,1,32300,0,1,0,0,0,0,0,0,1,48.862549876,2.336419316
47,2,1,1,175000,1,0,0,0,0,0,0,0,1,48.993711113,2.194320017
114,6,3,1,240000,1,0,0,0,0,0,0,0,1,48.783768446,2.454728618
85,5,4,1,195000,1,0,0,0,0,0,0,0,1,48.990236727,2.381117319
50,3,2,1,150000,1,0,0,0,0,0,0,0,1,48.920002762,2.535619525
118,5,4,2,245000,0,1,0,0,0,0,0,0,1,48.563172865,3.219258483
80,4,2,1,369000,1,0,0,0,0,0,0,0,1,48.926810989,2.122439577
84,4,3,1,269000,1,0,0,0,0,0,0,0,1,48.907435801,2.439842933
56,3,2,1,120000,1,0,0,0,0,0,0,0,1,48.908015138,2.546295743
65,3,2,1,100000,1,0,0,0,0,0,0,0,1,48.904081231,2.305966988
65,3,3,1,100000,1,0,0,0,0,0,0,0,1,48.904081231,2.305966988
100,5,3,1,280000,0,1,0,0,0,0,0,0,1,48.84091864,2.890551132
23,1,1,1,140000,1,0,0,0,0,0,0,0,1,48.802292474,2.117410101
70,4,2,1,180000,1,0,0,0,0,0,0,0,1,48.657051798,2.38747617
100,4,3,1,255000,0,1,0,0,0,0,0,0,1,48.774023154,2.8259164830000003
130,5,3,2,375000,0,1,0,0,0,0,0,0,1,48.898040819,2.566549678
500,13,7,6,1707000,0,1,0,0,0,0,0,0,1,48.87491844,2.48590027
121,5,4,1,780000,1,0,0,0,0,0,0,0,1,48.859054908,2.380025153
180,8,4,2,265000,0,1,0,0,0,0,0,0,1,48.709852705,3.393426506
30,1,2,1,72000,1,0,0,0,0,0,0,0,1,48.938717628,2.530589988
68,4,3,1,155000,1,0,0,0,0,0,0,0,1,49.06293876,2.567173124
48,2,1,1,215000,1,0,0,0,0,0,0,0,1,48.904081231,2.305966988
90,4,3,1,245000,0,1,0,0,0,0,0,0,1,48.819430023,2.609262864
15,1,2,1,64000,1,0,0,0,0,0,0,0,1,48.945834186,2.493478267
93,5,3,1,235000,0,1,0,0,0,0,0,0,1,48.789779958,2.660952483
93,5,3,1,235000,0,1,0,0,0,0,0,0,1,48.789779958,2.660952483
59,3,2,1,189000,1,0,0,0,0,0,0,0,1,48.907435801,2.439842933
55,2,1,1,160000,1,0,0,0,0,0,0,0,1,48.817381128,2.046651464
100,5,3,2,350000,0,1,0,0,0,0,0,0,1,48.861105557,2.57585149
50,3,2,1,22000,0,1,0,0,0,0,0,0,1,48.309573391,2.005568775
135,8,5,1,350000,0,1,0,0,0,0,0,0,1,48.340635219,2.750259737
145,6,4,2,262000,0,1,0,0,0,0,0,0,1,48.584512665,2.586244938
93,4,3,1,240000,0,1,0,0,0,0,0,0,1,49.041951735,3.108120761
70,4,2,1,130000,0,1,0,0,0,0,0,0,1,48.524357339,2.697674267
77,3,3,1,250000,1,0,0,0,0,0,0,0,1,48.783768446,2.454728618
84,5,4,1,280000,0,1,0,0,0,0,0,0,1,48.881719762,2.545716677
75,5,3,1,255000,0,1,0,0,0,0,0,0,1,49.051577748,2.094574042
56,2,1,1,170000,1,0,0,0,0,0,0,0,1,48.945850142,1.920725015
12,1,2,1,147000,1,0,0,0,0,0,0,0,1,48.862549876,2.336419316
9,5,2,1,89000,1,0,0,0,0,0,0,0,1,48.828424546,2.3622537660000003
55,2,1,1,181000,1,0,0,0,0,0,0,0,1,48.786864927,2.613875011
174,6,3,2,410000,0,1,0,0,0,0,0,0,1,48.970064721,2.345419123
82,4,3,1,249000,1,0,0,0,0,0,0,0,1,48.764258643,2.417182182
60,3,2,1,195000,1,0,0,0,0,0,0,0,1,48.812531997,1.946829653
80,3,2,1,390000,1,0,0,0,0,0,0,0,1,48.892570317,2.348176598
96,4,3,2,178000,1,0,0,0,0,0,0,0,1,48.945834186,2.493478267
28,2,1,1,138000,1,0,0,0,0,0,0,0,1,48.796455388,2.254300971
45,2,1,1,135000,1,0,0,0,0,0,0,0,1,49.025890296,2.384418866
110,5,4,1,220000,0,1,0,0,0,0,0,0,1,49.122876265,2.201090519
122,4,2,1,375000,1,0,0,0,0,0,0,0,1,48.951531886,2.240388744
95,5,3,1,228000,0,1,0,0,0,0,0,0,1,48.763240732,3.076987933
90,5,3,1,210000,1,0,0,0,0,0,0,0,1,48.745502894,2.489056972
90,4,3,1,500000,0,1,0,0,0,0,0,0,1,48.922750857,2.247051842
54,3,2,1,25000,0,1,0,0,0,0,0,0,1,48.344351413,2.897954226
47,2,1,1,190000,1,0,0,0,0,0,0,0,1,48.898414495,2.255695763
76,4,3,1,280000,1,0,0,0,0,0,0,0,1,48.836665517,2.481752082
150,5,4,2,200000,0,1,0,0,0,0,0,0,1,48.883978399,2.597093098
94,5,3,2,345000,0,1,0,0,0,0,0,0,1,48.990236727,2.381117319
131,6,5,2,250000,1,0,0,0,0,0,0,0,1,49.051577748,2.094574042
50,2,1,1,126000,1,0,0,0,0,0,0,0,1,48.704173357,2.427472385
